Transaction_ID,Customer_ID,Name,Email,Phone,Address,City,State,Zipcode,Country,Age,Gender,Income,Customer_Segment,Date,Year,Month,Time,Total_Purchases,Amount,Total_Amount,Product_Category,Product_Brand,Product_Type,Feedback,Shipping_Method,Payment_Method,Order_Status,Ratings,products
1222405,54688,Jimmy Barr Eric,Joshua35@gmail.com,2271990863,330 Kevin Squares Suite 765,Leeds,England,23339,UK,22,Male,Low,Regular,2023-12-31,2023,December,12:16:02,19,245.8328184,4670.82355,Clothing,Nike,T-shirt,Average,Same-Day,Cash,Delivered,2,Henley tee
2276789,76511,Tammy Welch Eric,Teresa5@gmail.com,7827912990,7019 Robert Center,Dortmund,Berlin,5432,Germany,22,Male,High,Regular,2023-06-07,2023,June,07:38:33,18,432.5507726,7785.913907,Home Decor,IKEA,Lighting,Bad,Same-Day,PayPal,Delivered,1,Desk lamps
6544647,29062,Erin Rogers Eric,Melissa54@gmail.com,7881783778,707 Bryan Spurs Suite 853,Bielefeld,Berlin,33382,Germany,22,Male,Low,Regular,2023-05-22,2023,May,07:11:52,17,460.429312,7827.298304,Home Decor,Home Depot,Furniture,Bad,Standard,Cash,Delivered,1,Bookshelf
3399996,77396,Andrew Brown Eric,Jennifer5@gmail.com,1005008381,6595 Pena Heights,Sacramento,Alabama,36001,USA,22,Male,Medium,Regular,2023-05-07,2023,May,21:33:44,15,394.4471312,5916.706968,Grocery,Pepsi,Juice,Excellent,Standard,Cash,Delivered,5,Tomato juice
2893265,43461,Matthew Wilkinson Eric,Nicole57@gmail.com,4456550061,037 Laura Ports Apt. 189,Essen,Berlin,70418,Germany,22,Female,Medium,Regular,2023-03-19,2023,March,22:15:25,18,492.4953019,8864.915434,Clothing,Nike,Shorts,Bad,Express,Debit Card,Delivered,1,Swim trunks
7207105,44395,Sheryl Ramos Eric,Stephen98@gmail.com,4794177571,34527 Theresa Causeway,Albuquerque,Oklahoma,73159,USA,22,Male,Low,Regular,2023-05-18,2023,May,14:06:07,18,264.3791356,4758.824441,Books,HarperCollins,Thriller,Bad,Same-Day,Credit Card,Delivered,1,Legal thriller
9577350,65537,Bobby Smith Eric,Gary37@gmail.com,1482607697,474 Wall Trace,Barrie,Ontario,97872,Canada,22,Male,High,Regular,2023-10-14,2023,October,09:32:26,11,440.3572913,4843.930204,Books,HarperCollins,Non-Fiction,Average,Standard,PayPal,Delivered,2,Biography
8848101,32484,James Johnson Eric,Nathan99@gmail.com,6482084946,8629 Hamilton Park Suite 574,Denver,Nevada,89689,USA,22,Male,Medium,Regular,2023-06-15,2023,June,02:10:58,12,250.0948483,3001.13818,Home Decor,Home Depot,Furniture,Good,Standard,Debit Card,Delivered,4,Desk
2331771,45222,Lisa Sawyer Eric,Breanna45@gmail.com,2965378197,4406 Samuel Loaf,Glasgow,England,86838,UK,22,Male,Low,Regular,2023-11-26,2023,November,03:52:02,11,236.8076706,2604.884377,Home Decor,Home Depot,Tools,Average,Same-Day,Cash,Delivered,2,Tape measure
3314833,15167,Andre Thomas Eric,Willie100@gmail.com,4809547825,47152 James Shoals Suite 635,Munich,Berlin,64558,Germany,22,Female,High,Regular,2024-02-03,2024,February,23:09:58,17,318.2761227,5410.694086,Home Decor,Home Depot,Decorations,Excellent,Same-Day,PayPal,Delivered,4,Sculptures
